case	log	bucket_shape	event_kind	function	block_label	instruction_index	phase	authority	move_count	parallel_copy	destination_storage	move_reason	fragment_status
src/20010123-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20010123-1.c/case.log	unsupported_move_bundle_target_shape: prepared	before_instruction_copies	main	for.cond.1	1	before_instruction	none	1	no	stack_slot	consumer_register_to_stack	generic_move_bundle_materialization_failed
src/20020206-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020206-2.c/case.log	unsupported_move_bundle_target_shape: prepared	pre_terminator_copies	foo	logic.rhs.end.5	0	block_entry	out_of_ssa_parallel_copy	2	yes	register	edge_consumer_preservation_register_to_register	generic_move_bundle_materialization_failed
src/20020619-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020619-1.c/case.log	unsupported_move_bundle_target_shape: prepared	pre_terminator_copies	main	logic.rhs.end.7	0	block_entry	out_of_ssa_parallel_copy	1	yes	register	phi_join_register_to_register	generic_move_bundle_materialization_failed
src/20040709-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040709-1.c/case.log	unsupported_move_bundle_target_shape: prepared	before_instruction_copies	fn1A	entry	5	before_instruction	none	1	no	stack_slot	consumer_stack_to_stack	generic_move_bundle_materialization_failed
src/20040709-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040709-2.c/case.log	unsupported_move_bundle_target_shape: prepared	before_instruction_copies	fn1A	entry	5	before_instruction	none	1	no	stack_slot	consumer_stack_to_stack	generic_move_bundle_materialization_failed
src/20040709-3.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040709-3.c/case.log	unsupported_move_bundle_target_shape: prepared	before_instruction_copies	fn1A	entry	5	before_instruction	none	1	no	stack_slot	consumer_stack_to_stack	generic_move_bundle_materialization_failed
src/20080519-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20080519-1.c/case.log	unsupported_move_bundle_target_shape: prepared	before_instruction_copies	merge_overlapping_regs	entry	2	before_instruction	none	1	no	stack_slot	consumer_register_to_stack	generic_move_bundle_materialization_failed
src/pr43236.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr43236.c/case.log	unsupported_move_bundle_target_shape: prepared	before_instruction_copies	main	for.cond.1	1	before_instruction	none	1	no	stack_slot	consumer_register_to_stack	generic_move_bundle_materialization_failed
src/pr45695.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr45695.c/case.log	unsupported_move_bundle_target_shape: prepared	before_instruction_copies	f	entry	4	before_instruction	none	2	no	stack_slot	consumer_register_to_stack	generic_move_bundle_materialization_failed
src/pr63641.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr63641.c/case.log	unsupported_move_bundle_target_shape: prepared	pre_terminator_copies	foo	logic.rhs.end.25	0	block_entry	out_of_ssa_parallel_copy	1	yes	register	phi_join_register_to_register	generic_move_bundle_materialization_failed
src/pr78438.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr78438.c/case.log	unsupported_move_bundle_target_shape: prepared	before_instruction_copies	foo	entry	2	before_instruction	none	1	no	stack_slot	consumer_register_to_stack	generic_move_bundle_materialization_failed
src/pr78726.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr78726.c/case.log	unsupported_move_bundle_target_shape: prepared	before_instruction_copies	main	logic.end.6	2	before_instruction	none	1	no	stack_slot	consumer_register_to_stack	generic_move_bundle_materialization_failed
src/pr82954.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr82954.c/case.log	unsupported_move_bundle_target_shape: prepared	before_instruction_copies	foo	entry	1	before_instruction	none	1	no	stack_slot	consumer_register_to_stack	generic_move_bundle_materialization_failed
src/pr84524.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr84524.c/case.log	unsupported_move_bundle_target_shape: prepared	before_instruction_copies	foo	for.cond.1	2	before_instruction	none	1	no	stack_slot	consumer_register_to_stack	generic_move_bundle_materialization_failed
src/pr85156.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr85156.c/case.log	unsupported_move_bundle_target_shape: prepared	pre_terminator_copies	foo	tern.then.end.3	0	block_entry	out_of_ssa_parallel_copy	1	yes	register	phi_join_register_to_register	generic_move_bundle_materialization_failed
src/20000112-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000112-1.c/case.log	unsupported_move_bundle_target_shape: prepared	before_instruction_copies	main	entry	1	before_instruction	none	1	no	stack_slot	consumer_register_to_stack	generic_move_bundle_materialization_failed
src/20000113-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000113-1.c/case.log	unsupported_move_bundle_target_shape: prepared	before_instruction_copies	foobar	entry	2	before_instruction	none	1	no	stack_slot	consumer_stack_to_stack	generic_move_bundle_materialization_failed
src/20000121-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000121-1.c/case.log	unsupported_move_bundle_target_shape: prepared	before_instruction_copies	doit	entry	1	before_instruction	none	1	no	stack_slot	consumer_register_to_stack	generic_move_bundle_materialization_failed
src/20000217-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000217-1.c/case.log	unsupported_move_bundle_target_shape: prepared	before_instruction_copies	showbug	entry	5	before_instruction	none	2	no	stack_slot	consumer_register_to_stack	generic_move_bundle_materialization_failed
src/20000313-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000313-1.c/case.log	unsupported_move_bundle_target_shape: prepared	before_instruction_copies	buggy	entry	6	before_instruction	none	2	no	stack_slot	consumer_register_to_stack	generic_move_bundle_materialization_failed
src/20000403-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000403-1.c/case.log	unsupported_move_bundle_target_shape: prepared	before_instruction_copies	seqgt	entry	1	before_instruction	none	2	no	stack_slot	consumer_register_to_stack	generic_move_bundle_materialization_failed
src/20000412-4.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000412-4.c/case.log	unsupported_move_bundle_target_shape: prepared	before_instruction_copies	f	entry	3	before_instruction	none	1	no	stack_slot	consumer_register_to_stack	generic_move_bundle_materialization_failed
