case	log	shape	fragment_status	function_evidence
src/20010123-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20010123-1.c/case.log	prepared module shape: unsupported_move_bundle_target_shape: prepared move	fragment_status=generic_move_bundle_materialization_failed	function=main block_index=1 block_label=for.cond.1 instruction_index=1
src/20020206-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020206-2.c/case.log	prepared module shape: unsupported_move_bundle_target_shape: prepared move	fragment_status=generic_move_bundle_materialization_failed	function=foo block_index=2 block_label=logic.rhs.end.5 instruction_index=0
src/20020619-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020619-1.c/case.log	prepared module shape: unsupported_move_bundle_target_shape: prepared move	fragment_status=generic_move_bundle_materialization_failed	function=main block_index=2 block_label=logic.rhs.end.7 instruction_index=0
src/20040709-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040709-1.c/case.log	prepared module shape: unsupported_move_bundle_target_shape: prepared move	fragment_status=generic_move_bundle_materialization_failed	function=fn1A block_index=0 block_label=entry instruction_index=5
src/20040709-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040709-2.c/case.log	prepared module shape: unsupported_move_bundle_target_shape: prepared move	fragment_status=generic_move_bundle_materialization_failed	function=fn1A block_index=0 block_label=entry instruction_index=5
src/20040709-3.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040709-3.c/case.log	prepared module shape: unsupported_move_bundle_target_shape: prepared move	fragment_status=generic_move_bundle_materialization_failed	function=fn1A block_index=0 block_label=entry instruction_index=5
src/20080519-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20080519-1.c/case.log	prepared module shape: unsupported_move_bundle_target_shape: prepared move	fragment_status=generic_move_bundle_materialization_failed	function=merge_overlapping_regs block_index=0 block_label=entry
src/pr43236.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr43236.c/case.log	prepared module shape: unsupported_move_bundle_target_shape: prepared move	fragment_status=generic_move_bundle_materialization_failed	function=main block_index=1 block_label=for.cond.1 instruction_index=1
src/pr45695.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr45695.c/case.log	prepared module shape: unsupported_move_bundle_target_shape: prepared move	fragment_status=generic_move_bundle_materialization_failed	function=f block_index=0 block_label=entry instruction_index=4
src/pr63641.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr63641.c/case.log	prepared module shape: unsupported_move_bundle_target_shape: prepared move	fragment_status=generic_move_bundle_materialization_failed	function=foo block_index=10 block_label=logic.rhs.end.25
src/pr78438.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr78438.c/case.log	prepared module shape: unsupported_move_bundle_target_shape: prepared move	fragment_status=generic_move_bundle_materialization_failed	function=foo block_index=0 block_label=entry instruction_index=2
src/pr78726.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr78726.c/case.log	prepared module shape: unsupported_move_bundle_target_shape: prepared move	fragment_status=generic_move_bundle_materialization_failed	function=main block_index=4 block_label=logic.end.6 instruction_index=2
src/pr82954.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr82954.c/case.log	prepared module shape: unsupported_move_bundle_target_shape: prepared move	fragment_status=generic_move_bundle_materialization_failed	function=foo block_index=0 block_label=entry instruction_index=1
src/pr84524.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr84524.c/case.log	prepared module shape: unsupported_move_bundle_target_shape: prepared move	fragment_status=generic_move_bundle_materialization_failed	function=foo block_index=1 block_label=for.cond.1 instruction_index=2
src/pr85156.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr85156.c/case.log	prepared module shape: unsupported_move_bundle_target_shape: prepared move	fragment_status=generic_move_bundle_materialization_failed	function=foo block_index=2 block_label=tern.then.end.3 instruction_index=0
src/20000112-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000112-1.c/case.log	prepared module shape: unsupported_move_bundle_target_shape: prepared move	fragment_status=generic_move_bundle_materialization_failed	function=main block_index=0 block_label=entry instruction_index=1
