case	log	event_kind	phase	authority	parallel_copy	execution_site	destination_storage	source_storage	move_reason	move_count	first_owner	coherence_family	authority_disposition
src/20010123-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20010123-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20020206-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020206-2.c/case.log	pre_terminator_copies	block_entry	out_of_ssa_parallel_copy	yes	predecessor_terminator	register	<not_reported>	edge_consumer_preservation_register_to_register	2	rv64_out_of_ssa_parallel_copy_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_parallel_copy_authority
src/20020619-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020619-1.c/case.log	pre_terminator_copies	block_entry	out_of_ssa_parallel_copy	yes	predecessor_terminator	register	<not_reported>	phi_join_register_to_register	1	rv64_out_of_ssa_parallel_copy_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_parallel_copy_authority
src/20040709-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040709-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_stack_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20040709-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040709-2.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_stack_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20040709-3.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040709-3.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_stack_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20080519-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20080519-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/pr43236.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr43236.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/pr45695.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr45695.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/pr63641.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr63641.c/case.log	pre_terminator_copies	block_entry	out_of_ssa_parallel_copy	yes	predecessor_terminator	register	<not_reported>	phi_join_register_to_register	1	rv64_out_of_ssa_parallel_copy_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_parallel_copy_authority
src/pr78438.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr78438.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/pr78726.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr78726.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/pr82954.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr82954.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/pr84524.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr84524.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/pr85156.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr85156.c/case.log	pre_terminator_copies	block_entry	out_of_ssa_parallel_copy	yes	predecessor_terminator	register	<not_reported>	phi_join_register_to_register	1	rv64_out_of_ssa_parallel_copy_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_parallel_copy_authority
src/20000112-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000112-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20000113-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000113-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_stack_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20000121-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000121-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20000217-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000217-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20000313-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000313-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20000403-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000403-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20000412-4.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000412-4.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20000412-6.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000412-6.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
