case	source_file	operation	prepared_cast	step2_owner_bucket	step2_first_missing_owner	step4_failure_class	step4_log	emitted_diagnostic	first_owner_classification	reason
src/20010604-1.c	src/20010604-1.c	zext	%t8 = bir.zext i32 %p.d to i32	rv64-consumer:width-preserving-zext-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_001_src_20010604-1.c/case.log	unsupported_instruction_fragment; function=f; block=logic.end.7; block_index=4; instruction_index=0; instruction_kind=CastInst; owner=i32 %t8	RV64 CastInst object consumer: width-preserving zext from direct parameter i32	source is direct prepared parameter %p.d and producer/move facts are present; residual still stops at the zext CastInst consumer rather than following p18298's trunc pass path
src/20020506-1.c	src/20020506-1.c	zext	%t9 = bir.zext i32 %t8 to i32	rv64-consumer:width-preserving-zext-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_002_src_20020506-1.c/case.log	unsupported_instruction_fragment; function=test1; block=block_2; block_index=2; instruction_index=2; instruction_kind=CastInst; owner=i32 %t9	RV64 CastInst object consumer: width-preserving zext from SSA temporary	source is prepared SSA temp %t8 and producer/move facts are present; residual still stops at the zext CastInst consumer rather than following p18298's trunc pass path
src/20021111-1.c	src/20021111-1.c	zext	%t2 = bir.zext i32 %t1 to i32	rv64-consumer:width-preserving-zext-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_003_src_20021111-1.c/case.log	unsupported_instruction_fragment; function=aim_callhandler; block=entry; block_index=0; instruction_index=2; instruction_kind=CastInst; owner=i32 %t2	RV64 CastInst object consumer: width-preserving zext from SSA temporary	source is prepared SSA temp %t1 and producer/move facts are present; residual still stops at the zext CastInst consumer rather than following p18298's trunc pass path
src/20030714-1.c	src/20030714-1.c	trunc	%t3 = bir.trunc i32 %t2 to i32	rv64-consumer:width-preserving-trunc-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_004_src_20030714-1.c/case.log	unsupported_instruction_fragment; function=RenderBox_setStyle; block=entry; block_index=0; instruction_index=6; instruction_kind=CastInst; owner=i32 %t3	RV64 CastInst object consumer: width-preserving trunc from SSA temporary	source is prepared SSA temp %t2 and producer/move facts are present; residual is still a compile-time trunc CastInst miss, so p18298 did not prove trunc breadth
src/20090113-2.c	src/20090113-2.c	zext	%t9 = bir.zext i32 %t8 to i32	rv64-consumer:width-preserving-zext-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_005_src_20090113-2.c/case.log	unsupported_instruction_fragment; function=bmp_iter_set_init; block=block_2; block_index=2; instruction_index=3; instruction_kind=CastInst; owner=i32 %t9	RV64 CastInst object consumer: width-preserving zext from SSA temporary	source is prepared SSA temp %t8 and producer/move facts are present; residual still stops at the zext CastInst consumer rather than following p18298's trunc pass path
src/20090113-3.c	src/20090113-3.c	zext	%t9 = bir.zext i32 %t8 to i32	rv64-consumer:width-preserving-zext-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_006_src_20090113-3.c/case.log	unsupported_instruction_fragment; function=bmp_iter_set_init; block=block_2; block_index=2; instruction_index=3; instruction_kind=CastInst; owner=i32 %t9	RV64 CastInst object consumer: width-preserving zext from SSA temporary	source is prepared SSA temp %t8 and producer/move facts are present; residual still stops at the zext CastInst consumer rather than following p18298's trunc pass path
src/20150611-1.c	src/20150611-1.c	zext	%t28 = bir.zext i32 %t27 to i32	rv64-consumer:width-preserving-zext-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_008_src_20150611-1.c/case.log	unsupported_instruction_fragment; function=main; block=logic.end.21; block_index=10; instruction_index=4; instruction_kind=CastInst; owner=i32 %t28	RV64 CastInst object consumer: width-preserving zext from SSA temporary	source is prepared SSA temp %t27 and producer/move facts are present; residual still stops at the zext CastInst consumer rather than following p18298's trunc pass path
src/961122-2.c	src/961122-2.c	zext	%t21 = bir.zext i32 %t20 to i32	rv64-consumer:width-preserving-zext-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_010_src_961122-2.c/case.log	unsupported_instruction_fragment; function=f; block=logic.end.16; block_index=8; instruction_index=2; instruction_kind=CastInst; owner=i32 %t21	RV64 CastInst object consumer: width-preserving zext from SSA temporary	source is prepared SSA temp %t20 and producer/move facts are present; residual still stops at the zext CastInst consumer rather than following p18298's trunc pass path
src/compare-1.c	src/compare-1.c	zext	%t15 = bir.zext i32 %t14 to i32	rv64-consumer:width-preserving-zext-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_011_src_compare-1.c/case.log	unsupported_instruction_fragment; function=ieq; block=block_1; block_index=5; instruction_index=2; instruction_kind=CastInst; owner=i32 %t15	RV64 CastInst object consumer: width-preserving zext from SSA temporary	source is prepared SSA temp %t14 and producer/move facts are present; residual still stops at the zext CastInst consumer rather than following p18298's trunc pass path
src/fprintf-chk-1.c	src/fprintf-chk-1.c	zext	%t6 = bir.zext i32 %t5 to i32	rv64-consumer:width-preserving-zext-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_012_src_fprintf-chk-1.c/case.log	unsupported_instruction_fragment; function=main; block=entry; block_index=0; instruction_index=6; instruction_kind=CastInst; owner=i32 %t6	RV64 CastInst object consumer: width-preserving zext from SSA temporary	source is prepared SSA temp %t5 and producer/move facts are present; residual still stops at the zext CastInst consumer rather than following p18298's trunc pass path
src/ieee/mzero5.c	src/ieee/mzero5.c	zext	%t8 = bir.zext i32 %t7 to i32	rv64-consumer:width-preserving-zext-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_013_src_ieee_mzero5.c/case.log	unsupported_instruction_fragment; function=negzero_check; block=block_1; block_index=1; instruction_index=3; instruction_kind=CastInst; owner=i32 %t8	RV64 CastInst object consumer: width-preserving zext from SSA temporary	source is prepared SSA temp %t7 and producer/move facts are present; residual still stops at the zext CastInst consumer rather than following p18298's trunc pass path
src/pr19005.c	src/pr19005.c	zext	%t5 = bir.zext i32 %t4 to i32	rv64-consumer:width-preserving-zext-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_017_src_pr19005.c/case.log	unsupported_instruction_fragment; function=bar; block=entry; block_index=0; instruction_index=6; instruction_kind=CastInst; owner=i32 %t5	RV64 CastInst object consumer: width-preserving zext from SSA temporary	source is prepared SSA temp %t4 and producer/move facts are present; residual still stops at the zext CastInst consumer rather than following p18298's trunc pass path
src/pr37573.c	src/pr37573.c	zext	%t5 = bir.zext i32 %t4 to i32	rv64-consumer:width-preserving-zext-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_019_src_pr37573.c/case.log	unsupported_instruction_fragment; function=foo; block=entry; block_index=0; instruction_index=5; instruction_kind=CastInst; owner=i32 %t5	RV64 CastInst object consumer: width-preserving zext from SSA temporary	source is prepared SSA temp %t4 and producer/move facts are present; residual still stops at the zext CastInst consumer rather than following p18298's trunc pass path
src/pr41750.c	src/pr41750.c	zext	%t5 = bir.zext i32 %t4 to i32	rv64-consumer:width-preserving-zext-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_020_src_pr41750.c/case.log	unsupported_instruction_fragment; function=get_got; block=entry; block_index=0; instruction_index=5; instruction_kind=CastInst; owner=i32 %t5	RV64 CastInst object consumer: width-preserving zext from SSA temporary	source is prepared SSA temp %t4 and producer/move facts are present; residual still stops at the zext CastInst consumer rather than following p18298's trunc pass path
src/pr43835.c	src/pr43835.c	zext	%t28 = bir.zext i32 %t27 to i32	rv64-consumer:width-preserving-zext-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_021_src_pr43835.c/case.log	unsupported_instruction_fragment; function=mark_cell; block=logic.end.19; block_index=8; instruction_index=4; instruction_kind=CastInst; owner=i32 %t28	RV64 CastInst object consumer: width-preserving zext from SSA temporary	source is prepared SSA temp %t27 and producer/move facts are present; residual still stops at the zext CastInst consumer rather than following p18298's trunc pass path
src/pr81555.c	src/pr81555.c	trunc	%t5 = bir.trunc i32 %t3 to i32	rv64-consumer:width-preserving-trunc-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_022_src_pr81555.c/case.log	unsupported_instruction_fragment; function=foo; block=block_2; block_index=2; instruction_index=2; instruction_kind=CastInst; owner=i32 %t10	RV64 CastInst object consumer: width-preserving trunc from SSA temporary	Step 2 classified the saved residual as trunc from %t3 and Step 4 now reaches a later CastInst owner i32 %t10; the row remains a compile-time trunc-family miss, so p18298 did not prove nested/later trunc breadth
src/pr81556.c	src/pr81556.c	trunc	%t4 = bir.trunc i32 %t2 to i32	rv64-consumer:width-preserving-trunc-i32-to-i32	RV64 object-route CastInst consumption	RV64_BACKEND_RUNTIME_MISMATCH	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_023_src_pr81556.c/case.log	clang_exit=0; c4c_exit=Subprocess aborted; object and binary were emitted	RV64 runtime after width-preserving trunc CastInst emission	Step 4 no longer stops at unsupported CastInst for this row; first remaining owner is runtime correctness after object emission, so it must be handled separately from compile-time CastInst consumer broadening
src/pr90949.c	src/pr90949.c	zext	%t5 = bir.zext i32 %t4 to i32	rv64-consumer:width-preserving-zext-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_024_src_pr90949.c/case.log	unsupported_instruction_fragment; function=walk; block=block_5; block_index=2; instruction_index=2; instruction_kind=CastInst; owner=i32 %t5	RV64 CastInst object consumer: width-preserving zext from SSA temporary	source is prepared SSA temp %t4 and producer/move facts are present; residual still stops at the zext CastInst consumer rather than following p18298's trunc pass path
src/printf-chk-1.c	src/printf-chk-1.c	zext	%t5 = bir.zext i32 %t4 to i32	rv64-consumer:width-preserving-zext-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_025_src_printf-chk-1.c/case.log	unsupported_instruction_fragment; function=main; block=entry; block_index=0; instruction_index=5; instruction_kind=CastInst; owner=i32 %t5	RV64 CastInst object consumer: width-preserving zext from SSA temporary	source is prepared SSA temp %t4 and producer/move facts are present; residual still stops at the zext CastInst consumer rather than following p18298's trunc pass path
src/vfprintf-chk-1.c	src/vfprintf-chk-1.c	zext	%t7 = bir.zext i32 %t6 to i32	rv64-consumer:width-preserving-zext-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_027_src_vfprintf-chk-1.c/case.log	unsupported_instruction_fragment; function=inner; block=block_10; block_index=13; instruction_index=8; instruction_kind=CastInst; owner=i32 %t7	RV64 CastInst object consumer: width-preserving zext from SSA temporary	source is prepared SSA temp %t6 and producer/move facts are present; residual still stops at the zext CastInst consumer rather than following p18298's trunc pass path
src/vprintf-chk-1.c	src/vprintf-chk-1.c	zext	%t6 = bir.zext i32 %t5 to i32	rv64-consumer:width-preserving-zext-i32-to-i32	RV64 object-route CastInst consumption	RV64_C4C_OBJ_COMPILE_FAIL	/workspaces/c4c/build/agent_state/623_step4_rerun_logs/cast_028_src_vprintf-chk-1.c/case.log	unsupported_instruction_fragment; function=inner; block=block_10; block_index=13; instruction_index=7; instruction_kind=CastInst; owner=i32 %t6	RV64 CastInst object consumer: width-preserving zext from SSA temporary	source is prepared SSA temp %t5 and producer/move facts are present; residual still stops at the zext CastInst consumer rather than following p18298's trunc pass path
