case	log	first_owner_lane	evidence_ref	diagnostic_key	move_shape	first_missing_fact	notes
src/20080519-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20080519-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20080519-1.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=rematerializable_immediate;destination_home_kind=stack_slot;source_type=i32;destination_type=i64;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/rematerializable_immediate_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/pr78438.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr78438.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_pr78438.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i32;destination_type=i16;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20000113-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000113-1.c/case.log	prepared_module_target_shape_authority_gap	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000113-1.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_stack_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i32;destination_type=i32;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_stack_to_stack/register_to_stack_slot	prepared_move_classification_or_source_home_authority	Reason says stack-to-stack but the current published home is not stack-slot to stack-slot, so prepared authority must be clarified first.
src/20000121-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000121-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000121-1.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i8;destination_type=i64;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20000422-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000422-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000422-1.c/case.log:6-28	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=3;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i64;destination_type=i32;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20000528-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000528-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000528-1.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i64;destination_type=i16;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20000717-3.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000717-3.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000717-3.c/case.log:6-23	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=2;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i32;destination_type=i32;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20000801-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000801-2.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000801-2.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=ptr;destination_type=i32;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20000808-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000808-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000808-1.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=rematerializable_immediate;destination_home_kind=stack_slot;source_type=i32;destination_type=i64;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/rematerializable_immediate_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20000914-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000914-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000914-1.c/case.log:6-23	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=2;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i32;destination_type=i32;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20001017-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20001017-2.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20001017-2.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i64;destination_type=i32;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20001130-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20001130-2.c/case.log	prepared_module_target_shape_authority_gap	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20001130-2.c/case.log:6-18	event_kind=pre_terminator_copies;phase=before_return;authority=none;move_count=1;parallel_copy=no;reason=return_stack_to_register;destination_kind=function_return_abi;destination_storage=register;source_home_kind=stack_slot;destination_home_kind=stack_slot;source_type=ptr;destination_type=ptr;fragment_status=generic_move_bundle_materialization_failed	before_return/authority_none/function_return_abi/return_stack_to_register	prepared_return_abi_destination_home_authority	Return ABI destination is register storage while the published destination home remains stack_slot, so prepared ABI/home authority is first.
src/20010224-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20010224-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20010224-1.c/case.log:6-27	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=3;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i64;destination_type=i16;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20011219-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20011219-1.c/case.log	prepared_module_target_shape_authority_gap	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20011219-1.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_stack_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i32;destination_type=i32;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_stack_to_stack/register_to_stack_slot	prepared_move_classification_or_source_home_authority	Reason says stack-to-stack but the current published home is not stack-slot to stack-slot, so prepared authority must be clarified first.
src/20020129-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020129-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020129-1.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=ptr;destination_type=i32;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20020201-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020201-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020201-1.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i32;destination_type=i16;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20020216-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020216-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020216-1.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i8;destination_type=i16;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20020226-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020226-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020226-1.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i32;destination_type=i64;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
